idx,a_pot,b_pot,numerically_stable,w0_cpl_latetime,wa_cpl_latetime,chi2_bao,s_fit_bao,chi2_sn,offset_fit_sn,n_sn,chi2_total
299,0.0507716157480994,0.0033925294515258,True,-1.0000000000000002,3.0082398805065136e-15,5163.494850792917,0.062006643594165904,1320.3294319170107,42.93335685557878,1590,6483.8242827099275
300,0.053397461999263,0.001669678641512,True,-1.0000000000000002,1.0208918423600886e-15,5163.49485130362,0.0620066435959554,1320.329431932689,42.933356855577465,1590,6483.8242832363085
301,1.4179976742900793,0.5599191798390147,True,-0.9999999999999998,5.045900585529434e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
302,0.067767262110348,0.0006558278949435,True,-1.0000000000000004,3.919179675299432e-16,5163.494851795399,0.062006643597678546,1320.3294319477773,42.933356855576186,1590,6483.824283743176
303,6.96409708509638,0.0120174464697069,True,-1.0000892190800057,0.0005329842379775,5161.006315437053,0.06199791210658247,1320.2534203580708,42.93336333002719,1590,6481.259735795124
304,0.0358823442314555,0.0210438518123927,False,-1.0000000000000118,1.0540276239936769e-13,5163.4947727933595,0.06200664332086379,1320.3294295196442,42.93335685578038,1590,6483.824202313004
305,5.240217682138969,0.0006744215339996,False,-0.8888650913567083,1.0822796813672242,86.01770335539558,0.037540993325010236,779.6831797620575,43.010128064704105,1590,865.7008831174531
306,0.0142028513490583,0.0071290077845486,True,-1.000000000142497,8.315096761794274e-10,5163.099699297607,0.06200525904504692,1320.3172920207771,42.93335787656172,1590,6483.416991318384
307,0.0318634312633412,0.0002997447977739,True,-1.0000000000001086,6.297883337884344e-13,5163.494554748106,0.062006642556843725,1320.3294228220498,42.933356856344346,1590,6483.823977570155
308,2.1823825001127664,0.0092086056623586,True,-1.0007241104951838,0.0043000141785477,5143.236574746488,0.06193583494655187,1319.7115274001203,42.933409017396826,1590,6462.948102146609
309,0.3070049845392364,0.0415966901460178,False,-0.9999999999999942,1.9641729697681402e-14,5163.494851809777,0.062006643597728645,1320.3294319482006,42.93335685557615,1590,6483.824283757978
310,1.5308375189205354,0.0031282379871622,True,-1.0476837055367787,0.3186746338972704,3687.1039863207475,0.05681187266107319,1265.3031919126734,42.938048065530715,1590,4952.407178233421
311,3.9004518357933504,0.0001413967484589,True,-0.3157881237770747,0.4953918584535303,221.8224118225158,0.027799756327783396,868.3532813906386,43.1570416073431,1590,1090.1756932131543
312,0.4745996548911843,0.0064515820056722,True,-1.0719211741995769,0.5384044646702704,2793.7682599736277,0.053495301678656376,1215.2326549054976,42.94261909512666,1590,4009.000914879125
313,77.62933711668066,0.0007108895337119,True,-0.9396171954725138,1.1003196165802112,153.33717405542717,0.038835869465973755,829.282582041433,43.00244922791764,1590,982.6197560968601
314,2.2841682784185813,0.1717694532842762,True,-1.0,-3.501962396944581e-17,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
315,0.2097197611452387,0.0017016232782503,True,-1.0,-3.1048738069668687e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
316,4.100163836635203,0.9939868908350038,True,-0.9999999999999996,-5.128751973722409e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
317,1.8950931041235224,0.000279343824675,True,-0.503601212884874,0.7405249858731484,95.01293912177951,0.030124435947164886,721.5571224627981,43.11211657531615,1590,816.5700615845776
318,0.0606500175609029,0.4261769690012884,True,-1.0,8.547963114222506e-16,5163.494851729749,0.06200664359744854,1320.3294319457614,42.933356855576356,1590,6483.824283675511
